Country;GGGI Score;Economic Participation and Opportunity;Educational Attainment;Health and Survival;Political Empowerment
Albania;0.78;0.783;0.958;0.962;0.419
Algeria;0.612;0.47;0.951;0.958;0.068
Angola;0.668;0.599;0.743;0.976;0.354
Argentina;0.772;0.651;1.000;0.977;0.459
Armenia;0.721;0.707;0.991;0.958;0.227
Australia;0.78;0.736;0.991;0.968;0.424
Austria;0.743;0.706;0.995;0.97;0.303
Azerbaijan;0.685;0.75;0.985;0.938;0.068
Bahrain;0.666;0.573;0.986;0.959;0.146
Bangladesh;0.689;0.311;0.94;0.962;0.543
Barbados;0.773;0.848;0.995;0.968;0.28
Belarus;0.733;0.818;0.967;0.98;0.168
Belgium;0.793;0.718;1.000;0.968;0.486
Belize;0.696;0.729;1.000;0.98;0.074
Benin;0.629;0.537;0.817;0.973;0.189
Bhutan;0.651;0.634;0.963;0.962;0.045
Bolivia;0.746;0.653;0.985;0.962;0.384
Bosnia and Herzegovina;0.71;0.62;0.992;0.97;0.257
Botswana;0.73;0.854;1.000;0.98;0.088
Brazil;0.716;0.667;0.996;0.98;0.22
Brunei Darussalam;0.684;0.715;0.997;0.954;0.069
Bulgaria;0.723;0.748;0.993;0.979;0.174
Burkina Faso;0.661;0.674;0.903;0.978;0.09
Burundi;0.757;0.784;0.943;0.979;0.32
Cambodia;0.685;0.717;0.967;0.978;0.08
Cameroon;0.693;0.705;0.894;0.973;0.204
Canada;0.761;0.746;0.996;0.968;0.334
Cape Verde;0.755;0.746;0.985;0.98;0.31
Chad;0.576;0.506;0.667;0.97;0.161
Chile;0.781;0.662;0.99;0.97;0.502
China;0.684;0.737;0.934;0.94;0.123
Colombia;0.745;0.701;1.000;0.975;0.306
Comoros;0.663;0.655;0.945;0.968;0.083
CostaRica;0.785;0.679;1.000;0.973;0.489
Côte d'Ivoire;0.655;0.611;0.924;0.978;0.107
Croatia;0.723;0.623;0.998;0.978;0.293
Cyprus;0.705;0.666;0.993;0.963;0.2
Czechia;0.684;0.632;1.000;0.978;0.126
Congo;0.609;0.669;0.683;0.976;0.109
Denmark;0.789;0.741;0.998;0.964;0.452
Dominican;0.706;0.702;1.000;0.98;0.145
Ecuador;0.788;0.707;0.996;0.968;0.482
Egypt;0.629;0.406;0.966;0.968;0.176
El Salvador;0.695;0.592;0.993;0.98;0.215
Estonia;0.774;0.777;1.000;0.979;0.34
Eswatini;0.744;0.84;0.982;0.98;0.174
Ethiopia;0.709;0.587;0.865;0.971;0.412
Fiji;0.642;0.589;0.969;0.965;0.045
Finland;0.875;0.796;1.000;0.97;0.734
France;0.781;0.726;1.000;0.97;0.428
Gambia;0.679;0.718;0.957;0.968;0.073
Georgia;0.716;0.72;0.991;0.974;0.179
Germany;0.81;0.676;0.987;0.972;0.604
Ghana;0.701;0.75;0.972;0.978;0.104
Greece;0.714;0.68;0.994;0.967;0.214
Guatemala;0.697;0.562;0.982;0.98;0.263
Guinea;0.601;0.489;0.732;0.966;0.217
Guyana;0.765;0.728;0.994;0.98;0.359
Honduras;0.726;0.654;1.000;0.964;0.288
Hungary;0.686;0.697;0.999;0.98;0.069
Iceland;0.935;0.815;0.992;0.962;0.972
India;0.641;0.398;0.964;0.951;0.251
Indonesia;0.686;0.667;0.971;0.97;0.138
Iran;0.579;0.343;0.977;0.964;0.031
Ireland;0.802;0.737;1.000;0.964;0.507
Israel;0.699;0.69;1.000;0.964;0.139
Italy;0.703;0.607;0.996;0.967;0.243
Jamaica;0.758;0.809;0.991;0.967;0.263
Japan;0.663;0.568;0.993;0.973;0.118
Jordan;0.652;0.536;0.998;0.957;0.117
Kazakhstan;0.71;0.751;0.999;0.976;0.116
Kenya;0.712;0.789;0.877;0.975;0.209
Kuwait;0.636;0.55;0.997;0.968;0.029
Kyrgyz;0.7;0.695;0.991;0.98;0.133
Lao PDR;0.7;0.714;0.972;0.975;0.14
Latvia;0.773;0.755;1.000;0.975;0.363
Lebanon;0.632;0.558;0.966;0.971;0.033
Lesotho;0.691;0.648;1.000;0.98;0.136
Liberia;0.754;0.874;0.892;0.962;0.287
Lithuania;0.793;0.76;0.995;0.98;0.44
Luxembourg;0.744;0.735;0.999;0.965;0.278
Madagascar;0.72;0.759;0.993;0.966;0.161
Malaysia;0.668;0.634;1.000;0.969;0.068
Maldives;0.633;0.514;1.000;0.962;0.055
Mali;0.604;0.495;0.776;0.959;0.187
Malta;0.723;0.68;1.000;0.96;0.251
Mauritius;0.683;0.603;0.993;0.98;0.159
Mexico;0.768;0.612;0.994;0.975;0.49
Mongolia;0.705;0.736;1.000;0.98;0.104
Montenegro;0.718;0.724;0.998;0.969;0.182
Morocco;0.628;0.406;0.955;0.961;0.188
Mozambique;0.776;0.69;0.894;0.98;0.542
Namibia;0.805;0.783;1.000;0.98;0.456
Nepal;0.664;0.475;0.923;0.969;0.288
Netherlands;0.775;0.694;1.000;0.962;0.443
New Zealand;0.835;0.741;1.000;0.966;0.631
Nicaragua;0.811;0.642;1.000;0.978;0.626
Niger;0.628;0.664;0.786;0.964;0.096
Nigeria;0.65;0.726;0.842;0.967;0.066
North Macedonia;0.727;0.635;1.000;0.96;0.313
Norway;0.875;0.799;0.993;0.962;0.746
Oman;0.628;0.52;0.989;0.961;0.044
Pakistan;0.57;0.36;0.836;0.961;0.122
